District Name,Total Households,Landless households deriving major part of their income from manual casual labour,Landless households deriving major part of their income from manual casual labour %,Households with non-agricultural enterprises registered with government,Households with non-agricultural enterprises registered with government %,Households paying income tax / professional tax,Households paying income tax / professional tax %,Households with Destitutes/living on alms,Households with Destitutes/living on alms %,Households with salaried job in government,Households with salaried job in government %,Households with salaried job in Public,Households with salaried job in Public %,Households with salaried job in Private,Households with salaried job in Private %,Monthly income of highest earning household member is < 5000,Monthly income of highest earning household member is < 5000 %,Monthly income of highest earning household member is 5000 - 10000,Monthly income of highest earning household member is 5000 - 10000 %,Monthly income of highest earning household member is > 10000,Monthly income of highest earning household member is > 10000 %,Household with government job and reporting monthly highest income > 5000,Household with government job and reporting monthly highest income > 5000 %,Households having motorized two/three/four wheelers and fishing boats,Households having motorized two/three/four wheelers and fishing boats %,Households having 2 wheeler,Households having 2 wheeler %,Households having 3 wheeler,Households having 3 wheeler %,Households having 4 wheeler,Households having 4 wheeler %,Households having motorized fishing boat,Households having motorized fishing boat %,Households Own a refrigerator,Households Own a refrigerator %,Households Own a landline phone,Households Own a landline phone %,Households Owns mobile only,Households Owns mobile only %,Households Owns both landline and mobile,Households Owns both landline and mobile %,Household without any phone,Household without any phone %,Households owning mechanized three/four wheeler agricultural equipments,Households owning mechanized three/four wheeler agricultural equipments %,"Households having kisan credit card with the credit limit of Rs.50,000 and above","Households having kisan credit card with the credit limit of Rs.50,000 and above %",Total Households owning un-irrrigated land,Total Households owning un-irrrigated land %,Total Households owning irrrigated land,Total Households owning irrrigated land %,Total Households owning other land,Total Households owning other land %,Households with irrigation equipments,Households with irrigation equipments %,Household who have no land but have irrigation equipment,Household who have no land but have irrigation equipment %,Household which dont own land but have kissan credit card,Household which dont own land but have kissan credit card %,State_Code
DIU (01),4344,319,7.34%,90,2.07%,115,2.65%,51,1.17%,229,5.27%,16,0.37%,839,19.31%,1261,29.03%,2116,48.71%,967,22.26%,210,4.83%,2005,46.16%,1593,36.67%,82,1.89%,81,1.86,249,5.73%,1657,38.14%,77,1.77%,3185,73.32%,367,8.45%,715,16.46%,50,1.15%,8,0.18%,792,18.23%,225,5.18%,287,6.61%,189,4.35%,10,0.23%,4,0.09%,25
DAMAN (02),27451,5139,18.72%,3202,11.66%,1526,5.56%,88,0.32%,649,2.36%,1346,4.9%,18908,68.88%,13230,48.19%,9345,34.04%,4875,17.76%,577,2.1%,7764,28.28%,5758,20.98%,457,1.66%,1181,4.3,368,1.34%,7121,25.94%,312,1.14%,25022,91.15%,587,2.14%,1529,5.57%,1937,7.06%,1754,6.39%,1598,5.82%,1057,3.85%,1121,4.08%,2994,10.91%,2698,9.83%,1474,5.37%,25
All India Total,179787454,68974464,38.36%,4896989,2.72%,8220522,4.57%,669649,0.37%,8954112,4.98%,1992688,1.11%,6393717,3.56%,133985215,74.52%,30894589,17.18%,14828438,8.25%,8217474,4.57%,37231701,20.71%,31385132,17.46%,1001655,0.56%,4410112,2.45%,434802,0.24%,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,7369947,4.1%,6484625,3.61%,53215896,29.6%,45876785,25.52%,21390638,11.9%,17669303,9.83%,1595336,0.89%,702061,0.39%,26
State Total,45352,9169,20.22%,5093,11.23%,2432,5.36%,98,0.22%,1774,3.91%,1149,2.53%,18695,41.22%,31371,69.17%,9792,21.59%,4189,9.24%,1459,3.22%,9250,20.4%,7276,16.04%,539,1.19%,1402,3.09%,33,0.07%,5562,12.26%,665,1.47%,26663,58.79%,453,1%,17571,38.74%,465,1.03%,158,0.35%,15335,33.81%,6080,13.41%,6257,13.8%,1225,2.7%,602,1.33%,44,0.1%,26
DADRA & NAGAR HAVELI (01),45352,9169,20.22%,5093,11.23%,2432,5.36%,98,0.22%,1774,3.91%,1149,2.53%,18695,41.22%,31371,69.17%,9792,21.59%,4189,9.24%,1459,3.22%,9250,20.4%,7276,16.04%,539,1.19%,1402,3.09,33,0.07%,5562,12.26%,665,1.47%,26663,58.79%,453,1%,17571,38.74%,465,1.03%,158,0.35%,15335,33.81%,6080,13.41%,6257,13.8%,1225,2.7%,602,1.33%,44,0.1%,26
All India Total,179787454,68974464,38.36%,4896989,2.72%,8220522,4.57%,669649,0.37%,8954112,4.98%,1992688,1.11%,6393717,3.56%,133985215,74.52%,30894589,17.18%,14828438,8.25%,8217474,4.57%,37231701,20.71%,31385132,17.46%,1001655,0.56%,4410112,2.45%,434802,0.24%,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,7369947,4.1%,6484625,3.61%,53215896,29.6%,45876785,25.52%,21390638,11.9%,17669303,9.83%,1595336,0.89%,702061,0.39%,27
State Total,13841960,4949734,35.76%,362307,2.62%,774408,5.59%,35588,0.26%,760437,5.49%,212344,1.53%,663370,4.79%,9819444,70.94%,2516959,18.18%,1502436,10.85%,704867,5.09%,3007937,21.73%,2633969,19.03%,76455,0.55%,276866,2%,20647,0.15%,1485119,10.73%,291307,2.1%,8018130,57.93%,422317,3.05%,5110179,36.92%,373291,2.7%,388233,2.8%,5446654,39.35%,2709974,19.58%,1737108,12.55%,1504275,10.87%,38913,0.28%,21709,0.16%,27
Nandurbar (01),292828,178948,61.11%,2845,0.97%,7425,2.54%,291,0.1%,8987,3.07%,1642,0.56%,1490,0.51%,244633,83.54%,31687,10.82%,16150,5.52%,8162,2.79%,22883,7.81%,20223,6.91%,581,0.2%,1979,0.68,100,0.03%,13276,4.53%,2607,0.89%,63709,21.76%,4088,1.4%,222424,75.96%,4396,1.5%,3288,1.12%,71960,24.57%,25084,8.57%,13580,4.64%,11438,3.91%,238,0.08%,239,0.08%,27
Dhule (02),306860,137359,44.76%,5173,1.69%,15113,4.93%,349,0.11%,18177,5.92%,2540,0.83%,3726,1.21%,227091,74%,49080,15.99%,29169,9.51%,17000,5.54%,44391,14.47%,39758,12.96%,1265,0.41%,3264,1.06,104,0.03%,26470,8.63%,4229,1.38%,161560,52.65%,7658,2.5%,133413,43.48%,6174,2.01%,7341,2.39%,106762,34.79%,55157,17.97%,37531,12.23%,28490,9.28%,276,0.09%,234,0.08%,27
Jalgaon (03),643191,363073,56.45%,8579,1.33%,21904,3.41%,2158,0.34%,29789,4.63%,5267,0.82%,6275,0.98%,499235,77.62%,96532,15.01%,47325,7.36%,27206,4.23%,85130,13.24%,78254,12.17%,1988,0.31%,4525,0.7,363,0.06%,55784,8.67%,13523,2.1%,291224,45.28%,20847,3.24%,317597,49.38%,14422,2.24%,17832,2.77%,182028,28.3%,73427,11.42%,52739,8.2%,41627,6.47%,506,0.08%,589,0.09%,27
Buldana (04),461842,208133,45.07%,5824,1.26%,15819,3.43%,1294,0.28%,21852,4.73%,1836,0.4%,3302,0.71%,347432,75.23%,71767,15.54%,42643,9.23%,19922,4.31%,54294,11.76%,48995,10.61%,1832,0.4%,3262,0.71,205,0.04%,21481,4.65%,8314,1.8%,229770,49.75%,8984,1.95%,214774,46.5%,10598,2.29%,14038,3.04%,200528,43.42%,56996,12.34%,37709,8.16%,38107,8.25%,422,0.09%,582,0.13%,27
Akola (05),281629,138919,49.33%,4390,1.56%,11759,4.18%,919,0.33%,15614,5.54%,1929,0.68%,4351,1.54%,211812,75.21%,43225,15.35%,26592,9.44%,14229,5.05%,36575,12.99%,33062,11.74%,1237,0.44%,2201,0.78,75,0.03%,17107,6.07%,6540,2.32%,133230,47.31%,5567,1.98%,136292,48.39%,5892,2.09%,6142,2.18%,99922,35.48%,19036,6.76%,13134,4.66%,10631,3.77%,747,0.27%,295,0.1%,27
Washim (06),223258,105327,47.18%,3152,1.41%,8473,3.8%,501,0.22%,9657,4.33%,1038,0.46%,1029,0.46%,167779,75.15%,34105,15.28%,21373,9.57%,8686,3.89%,24604,11.02%,22041,9.87%,910,0.41%,1587,0.71,66,0.03%,9307,4.17%,4609,2.06%,110374,49.44%,4602,2.06%,103672,46.44%,4796,2.15%,3864,1.73%,95077,42.59%,26430,11.84%,16156,7.24%,14225,6.37%,215,0.1%,304,0.14%,27
Amravati (07),450098,245791,54.61%,5432,1.21%,12367,2.75%,1054,0.23%,17811,3.96%,2285,0.51%,3239,0.72%,363592,80.78%,55668,12.37%,30838,6.85%,15865,3.52%,45258,10.06%,40964,9.1%,1259,0.28%,2896,0.64,139,0.03%,21011,4.67%,10520,2.34%,159929,35.53%,11091,2.46%,268558,59.67%,7126,1.58%,4281,0.95%,150928,33.53%,35771,7.95%,22960,5.1%,20998,4.67%,652,0.14%,342,0.08%,27
Wardha (08),226126,95708,42.33%,5178,2.29%,11668,5.16%,329,0.15%,13285,5.88%,2216,0.98%,6722,2.97%,161654,71.49%,38337,16.95%,26135,11.56%,12294,5.44%,43517,19.24%,39087,17.29%,1523,0.67%,2752,1.22,155,0.07%,27253,12.05%,4360,1.93%,125444,55.48%,7512,3.32%,88810,39.27%,4737,2.09%,6987,3.09%,79447,35.13%,30635,13.55%,17702,7.83%,21407,9.47%,244,0.11%,145,0.06%,27
Nagpur (09),414168,196210,47.37%,21380,5.16%,36249,8.75%,825,0.2%,28236,6.82%,8333,2.01%,47531,11.48%,313263,75.64%,58465,14.12%,42404,10.24%,26921,6.5%,113374,27.37%,103642,25.02%,1684,0.41%,7506,1.81,542,0.13%,66140,15.97%,12245,2.96%,232699,56.18%,13698,3.31%,155526,37.55%,11369,2.75%,16409,3.96%,103228,24.92%,59061,14.26%,34023,8.21%,32429,7.83%,3291,0.79%,1521,0.37%,27
Bhandara (10),243526,102953,42.28%,9418,3.87%,15409,6.33%,495,0.2%,15789,6.48%,1566,0.64%,4699,1.93%,193827,79.59%,27183,11.16%,22507,9.24%,15082,6.19%,41503,17.04%,38069,15.63%,382,0.16%,2883,1.18,169,0.07%,18092,7.43%,2761,1.13%,119948,49.25%,4757,1.95%,116060,47.66%,5563,2.28%,5623,2.31%,89875,36.91%,28639,11.76%,29112,11.95%,13769,5.65%,308,0.13%,362,0.15%,27
Gondiya (11),265214,114737,43.26%,5349,2.02%,10858,4.09%,442,0.17%,12430,4.69%,816,0.31%,2944,1.11%,220816,83.26%,26929,10.15%,17449,6.58%,11627,4.38%,38637,14.57%,35762,13.48%,275,0.1%,2401,0.91,199,0.08%,13515,5.1%,2497,0.94%,127564,48.1%,2981,1.12%,132172,49.84%,5180,1.95%,5425,2.05%,92732,34.96%,28935,10.91%,41875,15.79%,10868,4.1%,351,0.13%,332,0.13%,27
Gadchiroli (12),231066,96123,41.6%,5219,2.26%,12412,5.37%,404,0.17%,14720,6.37%,766,0.33%,2339,1.01%,186686,80.79%,24530,10.62%,19850,8.59%,13773,5.96%,20334,8.8%,18368,7.95%,232,0.1%,1496,0.65,238,0.1%,14114,6.11%,2541,1.1%,59991,25.96%,4261,1.84%,164273,71.09%,3481,1.51%,2139,0.93%,87805,38%,12589,5.45%,27825,12.04%,9003,3.9%,1311,0.57%,296,0.13%,27
Chandrapur (13),397430,170715,42.95%,9466,2.38%,26006,6.54%,885,0.22%,23647,5.95%,5969,1.5%,8090,2.04%,316601,79.66%,42326,10.65%,38503,9.69%,22003,5.54%,51675,13%,46666,11.74%,947,0.24%,3812,0.96,250,0.06%,36566,9.2%,3875,0.98%,149310,37.57%,7815,1.97%,236430,59.49%,5752,1.45%,16197,4.08%,134914,33.95%,22906,5.76%,34907,8.78%,17420,4.38%,253,0.06%,328,0.08%,27
Yavatmal (14),584064,318923,54.6%,9752,1.67%,28541,4.89%,1127,0.19%,28285,4.84%,2772,0.47%,6573,1.13%,437306,74.87%,93125,15.94%,53627,9.18%,26211,4.49%,74472,12.75%,65962,11.29%,2494,0.43%,5746,0.98,270,0.05%,40069,6.86%,9091,1.56%,242420,41.51%,10774,1.84%,321779,55.09%,9791,1.68%,14572,2.49%,182382,31.23%,42335,7.25%,33445,5.73%,24320,4.16%,975,0.17%,907,0.16%,27
Nanded (15),488582,181943,37.24%,8871,1.82%,18451,3.78%,1570,0.32%,22756,4.66%,2417,0.49%,3404,0.7%,350275,71.69%,87608,17.93%,50699,10.38%,21040,4.31%,46388,9.49%,39308,8.05%,2869,0.59%,3705,0.76,506,0.1%,22816,4.67%,9215,1.89%,320582,65.61%,8274,1.69%,150511,30.81%,10491,2.15%,5998,1.23%,238154,48.74%,71714,14.68%,49835,10.2%,26592,5.44%,538,0.11%,774,0.16%,27
Hingoli (16),202854,77136,38.03%,2364,1.17%,5221,2.57%,1019,0.5%,7134,3.52%,813,0.4%,768,0.38%,158423,78.1%,29119,14.35%,15308,7.55%,6398,3.15%,20655,10.18%,18602,9.17%,562,0.28%,1403,0.69,88,0.04%,7097,3.5%,1902,0.94%,117540,57.94%,2122,1.05%,81286,40.07%,4740,2.34%,3467,1.71%,103674,51.11%,39072,19.26%,21176,10.44%,17960,8.85%,134,0.07%,138,0.07%,27
Parbhani (17),261070,92891,35.58%,2281,0.87%,4913,1.88%,1001,0.38%,7163,2.74%,1207,0.46%,1485,0.57%,196647,75.32%,46552,17.83%,17871,6.85%,6495,2.49%,27372,10.48%,23918,9.16%,1239,0.47%,1971,0.75,244,0.09%,9749,3.73%,5134,1.97%,182926,70.07%,3457,1.32%,69553,26.64%,4523,1.73%,5753,2.2%,138092,52.89%,51378,19.68%,30142,11.55%,22804,8.73%,310,0.12%,306,0.12%,27
Jalna (18),314270,92095,29.3%,4997,1.59%,5573,1.77%,1237,0.39%,8072,2.57%,1565,0.5%,2035,0.65%,217917,69.34%,65460,20.83%,30891,9.83%,6928,2.2%,60206,19.16%,54477,17.33%,1646,0.52%,3788,1.21,295,0.09%,15127,4.81%,11092,3.53%,203145,64.64%,13087,4.16%,86944,27.67%,12777,4.07%,3595,1.14%,173954,55.35%,81482,25.93%,60966,19.4%,48111,15.31%,351,0.11%,283,0.09%,27
Aurangabad (19),449363,140099,31.18%,9170,2.04%,14011,3.12%,1240,0.28%,12744,2.84%,5042,1.12%,9079,2.02%,311673,69.36%,95971,21.36%,41719,9.28%,11032,2.46%,135436,30.14%,126028,28.05%,2124,0.47%,6862,1.53,422,0.09%,35427,7.88%,14654,3.26%,314124,69.9%,10400,2.31%,110185,24.52%,17787,3.96%,6592,1.47%,211588,47.09%,106881,23.79%,68787,15.31%,57856,12.88%,1978,0.44%,962,0.21%,27
Nashik (20),702961,255391,36.33%,19434,2.76%,37938,5.4%,1622,0.23%,33392,4.75%,6479,0.92%,17832,2.54%,545132,77.55%,99096,14.1%,58289,8.29%,30738,4.37%,204962,29.16%,183329,26.08%,2873,0.41%,17936,2.55,824,0.12%,67281,9.57%,6342,0.9%,412934,58.74%,8685,1.24%,275000,39.12%,43487,6.19%,5758,0.82%,270974,38.55%,206017,29.31%,102085,14.52%,163336,23.24%,2060,0.29%,1033,0.15%,27
Thane (21),626009,196541,31.4%,21841,3.49%,57523,9.19%,791,0.13%,39634,6.33%,23122,3.69%,96000,15.34%,417588,66.71%,124682,19.92%,83735,13.38%,37241,5.95%,116316,18.58%,90319,14.43%,6773,1.08%,17798,2.84,1426,0.23%,144671,23.11%,12980,2.07%,323872,51.74%,31675,5.06%,257482,41.13%,8110,1.3%,5043,0.81%,139717,22.32%,37645,6.01%,45446,7.26%,9666,1.54%,3743,0.6%,3262,0.52%,27
Raigarh (24),453135,100872,22.26%,18203,4.02%,56095,12.38%,396,0.09%,35297,7.79%,35463,7.83%,77733,17.15%,278951,61.56%,95241,21.02%,78943,17.42%,32293,7.13%,119114,26.29%,88262,19.48%,7149,1.58%,21920,4.84,1783,0.39%,157250,34.7%,20134,4.44%,261287,57.66%,37546,8.29%,134168,29.61%,3050,0.67%,1653,0.36%,105394,23.26%,23467,5.18%,27893,6.16%,4149,0.92%,991,0.22%,704,0.16%,27
Pune (25),751874,166217,22.11%,33688,4.48%,76100,10.12%,1784,0.24%,43686,5.81%,17024,2.26%,139196,18.51%,377652,50.23%,230981,30.72%,143122,19.04%,41532,5.52%,360167,47.9%,310628,41.31%,5935,0.79%,42864,5.7,740,0.1%,193919,25.79%,7076,0.94%,623011,82.86%,10711,1.42%,111060,14.77%,39369,5.24%,97335,12.95%,290507,38.64%,254393,33.83%,136341,18.13%,167323,22.25%,4532,0.6%,2522,0.34%,27
Ahmadnagar (26),763339,200445,26.26%,21566,2.83%,44027,5.77%,2568,0.34%,45659,5.98%,13901,1.82%,17237,2.26%,531909,69.68%,148064,19.4%,83212,10.9%,42575,5.58%,260118,34.08%,237589,31.12%,3680,0.48%,18510,2.42,339,0.04%,77298,10.13%,13876,1.82%,524552,68.72%,19618,2.57%,205293,26.89%,32113,4.21%,45814,6%,328524,43.04%,262575,34.4%,147628,19.34%,192713,25.25%,1864,0.24%,722,0.09%,27
Bid (27),460613,135938,29.51%,7806,1.69%,17197,3.73%,2292,0.5%,23165,5.03%,3492,0.76%,3954,0.86%,306613,66.57%,101037,21.94%,52690,11.44%,21706,4.71%,95520,20.74%,79016,17.15%,3583,0.78%,6366,1.38,6555,1.42%,28391,6.16%,13973,3.03%,307587,66.78%,12003,2.61%,127050,27.58%,14168,3.08%,4446,0.97%,244731,53.13%,113701,24.68%,80081,17.39%,64117,13.92%,575,0.12%,629,0.14%,27
Latur (28),360602,141587,39.26%,9336,2.59%,21675,6.01%,1289,0.36%,24077,6.68%,2787,0.77%,5904,1.64%,236968,65.71%,74318,20.61%,49316,13.68%,22938,6.36%,51987,14.42%,45105,12.51%,1689,0.47%,5034,1.4,159,0.04%,24235,6.72%,6669,1.85%,234046,64.9%,9950,2.76%,109937,30.49%,11377,3.16%,47409,13.15%,164636,45.66%,64502,17.89%,51582,14.3%,33077,9.17%,397,0.11%,757,0.21%,27
Osmanabad (29),294600,98028,33.27%,6589,2.24%,11588,3.93%,1047,0.36%,16372,5.56%,2303,0.78%,3313,1.12%,202682,68.8%,63636,21.6%,28282,9.6%,15085,5.12%,42302,14.36%,37220,12.63%,1061,0.36%,3867,1.31,154,0.05%,15946,5.41%,3109,1.06%,192949,65.5%,5858,1.99%,92684,31.46%,6937,2.35%,2688,0.91%,149883,50.88%,69434,23.57%,43313,14.7%,42313,14.36%,614,0.21%,203,0.07%,27
Solapur (30),597623,188658,31.57%,12052,2.02%,27274,4.56%,2528,0.42%,30651,5.13%,6957,1.16%,8266,1.38%,416875,69.76%,114098,19.09%,66650,11.15%,28519,4.77%,155376,26%,141603,23.69%,2319,0.39%,10290,1.72,1164,0.19%,46718,7.82%,11963,2%,402633,67.37%,13595,2.27%,169432,28.35%,17336,2.9%,5185,0.87%,248794,41.63%,175103,29.3%,93411,15.63%,113253,18.95%,4823,0.81%,1336,0.22%,27
Satara (31),539808,104777,19.41%,19713,3.65%,38654,7.16%,815,0.15%,44865,8.31%,15527,2.88%,37481,6.94%,333062,61.7%,131048,24.28%,75690,14.02%,42106,7.8%,169960,31.49%,145887,27.03%,3846,0.71%,19821,3.67,406,0.08%,72311,13.4%,13766,2.55%,395135,73.2%,22525,4.17%,108380,20.08%,14859,2.75%,8484,1.57%,265329,49.15%,182883,33.88%,90164,16.7%,76286,14.13%,676,0.13%,291,0.05%,27
Ratnagiri (32),343088,66624,19.42%,12734,3.71%,20002,5.83%,766,0.22%,20563,5.99%,3819,1.11%,25853,7.54%,276091,80.47%,38738,11.29%,28259,8.24%,18512,5.4%,51650,15.05%,36645,10.68%,5071,1.48%,9060,2.64,874,0.25%,47388,13.81%,26680,7.78%,164431,47.93%,24902,7.26%,127075,37.04%,1532,0.45%,1206,0.35%,141488,41.24%,40058,11.68%,46076,13.43%,5502,1.6%,1277,0.37%,408,0.12%,27
Sindhudurg (33),186826,37702,20.18%,6880,3.68%,11201,6%,188,0.1%,17768,9.51%,2874,1.54%,7436,3.98%,143123,76.61%,25906,13.87%,17797,9.53%,15599,8.35%,33053,17.69%,24313,13.01%,2393,1.28%,5348,2.86,999,0.53%,25825,13.82%,7763,4.16%,102568,54.9%,14437,7.73%,62058,33.22%,1445,0.77%,698,0.37%,75480,40.4%,18134,9.71%,23825,12.75%,7454,3.99%,1814,0.97%,122,0.07%,27
Kolhapur (34),590837,111462,18.87%,23320,3.95%,45401,7.68%,1275,0.22%,42391,7.17%,20712,3.51%,76039,12.87%,369258,62.5%,138425,23.43%,83090,14.06%,39702,6.72%,207981,35.2%,184622,31.25%,3223,0.55%,19789,3.35,347,0.06%,64859,10.98%,12986,2.2%,402984,68.21%,40107,6.79%,134758,22.81%,15281,2.59%,8019,1.36%,260238,44.05%,222608,37.68%,110853,18.76%,60807,10.29%,1158,0.2%,416,0.07%,27
Sangli (35),433206,88409,20.41%,20305,4.69%,27561,6.36%,1087,0.25%,26769,6.18%,7865,1.82%,28045,6.47%,256878,59.3%,114020,26.32%,62308,14.38%,25447,5.87%,152727,35.26%,136245,31.45%,1811,0.42%,14224,3.28,447,0.1%,48626,11.22%,4281,0.99%,324652,74.94%,18730,4.32%,85543,19.75%,14632,3.38%,4952,1.14%,217909,50.3%,171926,39.69%,94806,21.88%,96224,22.21%,1289,0.3%,365,0.08%,27
All India Total,179787454,68974464,38.36%,4896989,2.72%,8220522,4.57%,669649,0.37%,8954112,4.98%,1992688,1.11%,6393717,3.56%,133985215,74.52%,30894589,17.18%,14828438,8.25%,8217474,4.57%,37231701,20.71%,31385132,17.46%,1001655,0.56%,4410112,2.45%,434802,0.24%,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,7369947,4.1%,6484625,3.61%,53215896,29.6%,45876785,25.52%,21390638,11.9%,17669303,9.83%,1595336,0.89%,702061,0.39%,28
State Total,9344180,4523810,48.41%,227271,2.43%,271736,2.91%,16408,0.18%,180283,1.93%,32109,0.34%,214785,2.3%,7430191,79.52%,1462316,15.65%,436383,4.67%,152636,1.63%,1813568,19.41%,1636760,17.52%,72394,0.77%,61994,0.66%,42420,0.45%,571249,6.11%,176743,1.89%,6863406,73.45%,154924,1.66%,2148716,23%,155573,1.66%,120918,1.29%,1984941,21.24%,1538705,16.47%,952483,10.19%,493826,5.28%,107236,1.15%,44508,0.48%,28
Srikakulam (11),558929,257871,46.14%,17119,3.06%,18289,3.27%,1318,0.24%,19764,3.54%,1688,0.3%,8333,1.49%,456020,81.59%,74684,13.36%,27961,5%,17414,3.12%,73682,13.18%,66494,11.9%,3619,0.65%,1967,0.35,1602,0.29%,21942,3.93%,7048,1.26%,400211,71.6%,7343,1.31%,144327,25.82%,9944,1.78%,11257,2.01%,166288,29.75%,124664,22.3%,79388,14.2%,50919,9.11%,17527,3.14%,3034,0.54%,28
Vizianagaram (12),478978,251110,52.43%,12413,2.59%,13669,2.85%,365,0.08%,15053,3.14%,3707,0.77%,11788,2.46%,408093,85.2%,53522,11.17%,17336,3.62%,13666,2.85%,47026,9.82%,41290,8.62%,3078,0.64%,1485,0.31,1173,0.24%,18728,3.91%,5132,1.07%,278257,58.09%,4541,0.95%,191048,39.89%,6925,1.45%,1809,0.38%,130274,27.2%,75883,15.84%,74103,15.47%,8625,1.8%,2166,0.45%,354,0.07%,28
Visakhapatnam (13),602256,262019,43.51%,18602,3.09%,29725,4.94%,851,0.14%,12553,2.08%,2364,0.39%,9988,1.66%,516103,85.69%,66523,11.05%,19436,3.23%,9810,1.63%,93074,15.45%,82434,13.69%,4626,0.77%,2398,0.4,3616,0.6%,25014,4.15%,6384,1.06%,351895,58.43%,5012,0.83%,238945,39.67%,11943,1.98%,7326,1.22%,190186,31.58%,121387,20.16%,93861,15.58%,25687,4.27%,6110,1.01%,2825,0.47%,28
EastGodavari (14),1176639,814459,69.22%,18333,1.56%,19462,1.65%,2256,0.19%,22468,1.91%,1751,0.15%,20619,1.75%,1021036,86.78%,121446,10.32%,33746,2.87%,19605,1.67%,201031,17.09%,188266,16%,5056,0.43%,4996,0.42,2713,0.23%,74065,6.29%,19652,1.67%,779255,66.23%,18277,1.55%,359455,30.55%,6432,0.55%,7431,0.63%,81139,6.9%,79365,6.75%,32504,2.76%,13808,1.17%,5893,0.5%,3768,0.32%,28
WestGodavari (15),881322,511518,58.04%,13513,1.53%,20782,2.36%,1860,0.21%,14571,1.65%,2102,0.24%,18165,2.06%,665923,75.56%,183585,20.83%,31128,3.53%,12382,1.4%,177990,20.2%,165158,18.74%,5753,0.65%,5354,0.61,1725,0.2%,66543,7.55%,19952,2.26%,613359,69.6%,19937,2.26%,228074,25.88%,5099,0.58%,3274,0.37%,75398,8.56%,149078,16.92%,34126,3.87%,8024,0.91%,3563,0.4%,1544,0.18%,28
Krishna (16),852522,504659,59.2%,13427,1.57%,20000,2.35%,1511,0.18%,18786,2.2%,6173,0.72%,32901,3.86%,696466,81.69%,117293,13.76%,38464,4.51%,16350,1.92%,153041,17.95%,138355,16.23%,5392,0.63%,6947,0.81,2347,0.28%,77108,9.04%,23776,2.79%,564870,66.26%,21549,2.53%,242327,28.42%,10681,1.25%,7602,0.89%,97702,11.46%,100262,11.76%,42380,4.97%,22619,2.65%,11694,1.37%,4408,0.52%,28
Guntur (17),862356,481663,55.85%,13258,1.54%,15312,1.78%,901,0.1%,9658,1.12%,1499,0.17%,11681,1.35%,667042,77.35%,164306,19.05%,30930,3.59%,7923,0.92%,131970,15.3%,120890,14.02%,5245,0.61%,3249,0.38,2586,0.3%,44177,5.12%,19157,2.22%,660905,76.64%,13862,1.61%,168432,19.53%,14256,1.65%,9061,1.05%,122852,14.25%,112647,13.06%,61969,7.19%,22827,2.65%,9524,1.1%,3948,0.46%,28
Prakasam (18),701745,323508,46.1%,31161,4.44%,16572,2.36%,1420,0.2%,13069,1.86%,1218,0.17%,9482,1.35%,533552,76.03%,130077,18.54%,34676,4.94%,11148,1.59%,123230,17.56%,103648,14.77%,5507,0.78%,9509,1.36,4566,0.65%,32669,4.66%,10940,1.56%,546702,77.91%,11287,1.61%,132781,18.92%,15322,2.18%,14099,2.01%,172269,24.55%,126358,18.01%,90530,12.9%,45062,6.42%,12056,1.72%,5615,0.8%,28
SriPottiSriramuluNellore (19),590457,308841,52.31%,17064,2.89%,28160,4.77%,1733,0.29%,15698,2.66%,2517,0.43%,15918,2.7%,478724,81.08%,82011,13.89%,28359,4.8%,13371,2.26%,86314,14.62%,71559,12.12%,5838,0.99%,5843,0.99,3074,0.52%,52141,8.83%,9722,1.65%,416341,70.51%,16310,2.76%,147754,25.02%,15219,2.58%,7080,1.2%,119948,20.31%,106287,18%,68028,11.52%,29210,4.95%,5205,0.88%,2514,0.43%,28
YSR (20),516185,150442,29.14%,10411,2.02%,7216,1.4%,755,0.15%,4085,0.79%,1060,0.21%,6520,1.26%,414991,80.4%,82259,15.94%,18900,3.66%,3159,0.61%,221587,42.93%,213322,41.33%,3617,0.7%,2295,0.44,2353,0.46%,33407,6.47%,7768,1.5%,459570,89.03%,5166,1%,43678,8.46%,11086,2.15%,9236,1.79%,138807,26.89%,111282,21.56%,52241,10.12%,60744,11.77%,8099,1.57%,5014,0.97%,28
Kurnool (21),637178,220902,34.67%,14916,2.34%,14833,2.33%,1150,0.18%,8128,1.28%,1674,0.26%,6583,1.03%,486695,76.38%,108083,16.96%,41338,6.49%,6310,0.99%,154783,24.29%,136335,21.4%,7833,1.23%,4235,0.66,6380,1%,22329,3.5%,17772,2.79%,543170,85.25%,9768,1.53%,66466,10.43%,18753,2.94%,11444,1.8%,190678,29.93%,101051,15.86%,78442,12.31%,36394,5.71%,8429,1.32%,5424,0.85%,28
Anantapur (22),686743,203578,29.64%,24649,3.59%,9767,1.42%,1028,0.15%,7631,1.11%,1201,0.17%,6304,0.92%,547070,79.66%,102075,14.86%,34177,4.98%,5933,0.86%,122487,17.84%,107146,15.6%,5921,0.86%,3688,0.54,5732,0.83%,24754,3.6%,13456,1.96%,589783,85.88%,7708,1.12%,75796,11.04%,22676,3.3%,23463,3.42%,270620,39.41%,143915,20.96%,105646,15.38%,49807,7.25%,12240,1.78%,5484,0.8%,28
