District Name,TotalHouseholds,Total Householdsconsidered fordeprivation,No. of Deprived Households with deprivation criteriaOnly one room with kuchawalls and kucha roof,No. of Deprived Households with deprivation criteriaNo adult member betweenage 16 to 59,No. of Deprived Households with deprivation criteriaFemale headed households with no adultmale member between age 16 to 59,No. of Deprived Households with deprivation criteriaDisabled member and noable bodied adult member,No. of Deprived Households with deprivation criteriaSC/SThouseholds,No. of Deprived Households with deprivation criteriaNo literate adultabove 25 years,No. of Deprived Households with deprivation criteriaLandless households deriving major part oftheir income from manual casual labour,% of Deprived Households with deprivation criteriaOnly one room with kuchawalls and kucha roof,% of Deprived Households with deprivation criteriaNo adult member betweenage 16 to 59,% of Deprived Households with deprivation criteriaFemale headed households with no adultmale member between age 16 to 59,% of Deprived Households with deprivation criteriaDisabled member and noable bodied adult member,% of Deprived Households with deprivation criteriaSC/SThouseholds,% of Deprived Households with deprivation criteriaNo literate adultabove 25 years,% of Deprived Households with deprivation criteriaLandless households deriving major part oftheir income from manual casual labour,No. of Deprived Households withExactly 1,No. of Deprived Households withExactly 2,No. of Deprived Households withExactly 3,No. of Deprived Households withExactly 4,No. of Deprived Households withExactly 5,No. of Deprived Households withExactly 6,No. of Deprived Households withExactly 7,% of Deprived Households withExactly 1,% of Deprived Households withExactly 2,% of Deprived Households withExactly 3,% of Deprived Households withExactly 4,% of Deprived Households withExactly 5,% of Deprived Households withExactly 6,% of Deprived Households withExactly 7,Total Households- No deprivation HHs,Total Households- No deprivation %,State_Code
Faizabad (46),377144,223272,60548,11560,10626,938,81466,90528,78717,16.05%,3.07%,2.82%,0.25%,21.6%,24%,20.87%,69455,57275,31355,10937,1979,424,18,18.42%,15.19%,8.31%,2.9%,0.52%,0.11%,0%,51829,13.74%,09
Ambedkar Nagar (47),322410,169313,32134,7644,5948,399,67210,51127,50614,9.97%,2.37%,1.84%,0.12%,20.85%,15.86%,15.7%,59727,39574,17055,4771,945,201,3,18.53%,12.27%,5.29%,1.48%,0.29%,0.06%,0%,47037,14.59%,09
Sultanpur (48),563089,324375,75028,20494,20580,1753,109759,124578,132888,13.32%,3.64%,3.65%,0.31%,19.49%,22.12%,23.6%,98229,81010,46018,16377,3428,652,31,17.44%,14.39%,8.17%,2.91%,0.61%,0.12%,0.01%,78630,13.96%,09
Bahraich (49),541484,373077,104195,18964,10875,828,71020,189025,116257,19.24%,3.5%,2.01%,0.15%,13.12%,34.91%,21.47%,137747,103301,40980,8813,1489,194,2,25.44%,19.08%,7.57%,1.63%,0.27%,0.04%,0%,80551,14.88%,09
Shrawasti (50),179481,108225,25177,5963,3886,512,27072,65735,34482,14.03%,3.32%,2.17%,0.29%,15.08%,36.63%,19.21%,38975,31705,14108,3599,623,93,7,21.72%,17.66%,7.86%,2.01%,0.35%,0.05%,0%,19115,10.65%,09
Balrampur (51),293520,152273,33177,7850,5997,510,33369,87420,74287,11.3%,2.67%,2.04%,0.17%,11.37%,29.78%,25.31%,50720,45328,23155,6411,1032,155,5,17.28%,15.44%,7.89%,2.18%,0.35%,0.05%,0%,25467,8.68%,09
Gonda (52),523254,290690,88219,14201,13791,1212,71104,138377,91583,16.86%,2.71%,2.64%,0.23%,13.59%,26.45%,17.5%,96170,77313,38090,10807,1718,252,13,18.38%,14.78%,7.28%,2.07%,0.33%,0.05%,0%,66327,12.68%,09
Siddharthnagar (53),382311,192572,28865,12492,16141,878,52490,85828,68659,7.55%,3.27%,4.22%,0.23%,13.73%,22.45%,17.96%,65966,48058,22860,6610,1409,187,12,17.25%,12.57%,5.98%,1.73%,0.37%,0.05%,0%,47470,12.42%,09
Basti (54),385828,212297,59389,9724,8993,884,72207,78975,75797,15.39%,2.52%,2.33%,0.23%,18.71%,20.47%,19.65%,68214,53883,28826,8645,1463,253,14,17.68%,13.97%,7.47%,2.24%,0.38%,0.07%,0%,50999,13.22%,09
Sant Kabir Nagar (55),243670,135314,31150,5825,6201,573,45559,46512,52134,12.78%,2.39%,2.54%,0.24%,18.7%,19.09%,21.4%,46028,34286,16125,4893,883,163,2,18.89%,14.07%,6.62%,2.01%,0.36%,0.07%,0%,32934,13.52%,09
Mahrajganj (56),407828,243366,45596,10088,7705,867,72028,99679,50372,11.18%,2.47%,1.89%,0.21%,17.66%,24.44%,12.35%,89271,53120,20628,5628,1056,175,14,21.89%,13.03%,5.06%,1.38%,0.26%,0.04%,0%,73474,18.02%,09
Gorakhpur (57),599152,351741,72116,14229,16446,1718,121627,112895,176896,12.04%,2.37%,2.74%,0.29%,20.3%,18.84%,29.52%,115654,95982,47240,13165,2304,391,9,19.3%,16.02%,7.88%,2.2%,0.38%,0.07%,0%,76996,12.85%,09
Kushinagar (58),574969,366617,53634,11809,19387,1643,107756,139260,98145,9.33%,2.05%,3.37%,0.29%,18.74%,24.22%,17.07%,131363,79386,32437,8744,1537,237,15,22.85%,13.81%,5.64%,1.52%,0.27%,0.04%,0%,112898,19.64%,09
Deoria (59),450667,233628,30122,7132,10071,644,68330,66209,56753,6.68%,1.58%,2.23%,0.14%,15.16%,14.69%,12.59%,81523,44643,16599,3814,560,94,5,18.09%,9.91%,3.68%,0.85%,0.12%,0.02%,0%,86390,19.17%,09
Azamgarh (60),615199,212893,26479,7391,8261,233,61291,37789,30307,4.3%,1.2%,1.34%,0.04%,9.96%,6.14%,4.93%,66789,30323,10431,2600,444,66,1,10.86%,4.93%,1.7%,0.42%,0.07%,0.01%,0%,102239,16.62%,09
Mau (61),262251,120323,16302,3907,3911,258,45121,37527,45431,6.22%,1.49%,1.49%,0.1%,17.21%,14.31%,17.32%,43170,29503,11829,2979,477,81,1,16.46%,11.25%,4.51%,1.14%,0.18%,0.03%,0%,32283,12.31%,09
Ballia (62),426709,233876,51686,6816,7133,548,64317,73504,140386,12.11%,1.6%,1.67%,0.13%,15.07%,17.23%,32.9%,80383,67565,30976,7412,1060,161,5,18.84%,15.83%,7.26%,1.74%,0.25%,0.04%,0%,46314,10.85%,09
Jaunpur (63),596098,254565,56243,11041,14708,837,95804,74976,73718,9.44%,1.85%,2.47%,0.14%,16.07%,12.58%,12.37%,81115,58546,28074,8690,1647,302,13,13.61%,9.82%,4.71%,1.46%,0.28%,0.05%,0%,76178,12.78%,09
Ghazipur (64),476147,199708,27186,7128,6912,867,72000,55284,63989,5.71%,1.5%,1.45%,0.18%,15.12%,11.61%,13.44%,72932,43485,16828,4556,771,142,7,15.32%,9.13%,3.53%,0.96%,0.16%,0.03%,0%,60987,12.81%,09
Chandauli (65),265851,150433,30225,7011,4366,500,57267,50366,108090,11.37%,2.64%,1.64%,0.19%,21.54%,18.95%,40.66%,47168,46620,25237,8240,1391,288,9,17.74%,17.54%,9.49%,3.1%,0.52%,0.11%,0%,21480,8.08%,09
Varanasi (66),343657,152470,29099,5206,4823,559,45570,51312,86800,8.47%,1.51%,1.4%,0.16%,13.26%,14.93%,25.26%,49790,40712,20473,6214,937,191,7,14.49%,11.85%,5.96%,1.81%,0.27%,0.06%,0%,34146,9.94%,09
Sant Ravidas Nagar (Bhadohi) (67),191630,103011,22502,4236,3871,400,37188,36721,57283,11.74%,2.21%,2.02%,0.21%,19.41%,19.16%,29.89%,30490,27715,16116,5521,920,207,1,15.91%,14.46%,8.41%,2.88%,0.48%,0.11%,0%,22041,11.5%,09
Mirzapur (68),340748,200972,48957,10510,8017,839,82883,82675,125337,14.37%,3.08%,2.35%,0.25%,24.32%,24.26%,36.78%,57524,61114,37903,12487,2404,614,15,16.88%,17.94%,11.12%,3.66%,0.71%,0.18%,0%,28911,8.48%,09
Sonbhadra (69),288433,181383,27985,10987,5906,577,94072,86713,93450,9.7%,3.81%,2.05%,0.2%,32.61%,30.06%,32.4%,53562,57172,33992,9528,1807,419,21,18.57%,19.82%,11.79%,3.3%,0.63%,0.15%,0.01%,24882,8.63%,09
Etah (70),241868,129444,22767,5334,4542,538,27671,45752,45278,9.41%,2.21%,1.88%,0.22%,11.44%,18.92%,18.72%,43220,27851,12648,2897,582,84,2,17.87%,11.51%,5.23%,1.2%,0.24%,0.03%,0%,42160,17.43%,09
Kanshiram Nagar (71),191433,115380,18428,4701,3992,346,27671,47500,41497,9.63%,2.46%,2.09%,0.18%,14.45%,24.81%,21.68%,39580,27574,11734,2825,477,82,4,20.68%,14.4%,6.13%,1.48%,0.25%,0.04%,0%,33104,17.29%,09
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,10
East Zone Total,47307665,35604289,9961967,1545980,1703849,228050,12349047,13982517,19436486,21.06%,3.27%,3.6%,0.48%,26.1%,29.56%,41.09%,10710568,10297517,5994735,1926292,356402,67762,3477,22.64%,21.77%,12.67%,4.07%,0.75%,0.14%,0.01%,6247536,13.21%,10
State Total,17829066,12998408,3534797,609239,527400,85172,2814956,6083421,8409965,19.83%,3.42%,2.96%,0.48%,15.79%,34.12%,47.17%,3857092,3829602,2359491,697945,113871,17325,728,21.63%,21.48%,13.23%,3.91%,0.64%,0.1%,0%,2122354,11.9%,10
Pashchim Champaran (01),681326,477950,100886,24425,18573,5018,129571,244121,325379,14.81%,3.58%,2.73%,0.74%,19.02%,35.83%,47.76%,144653,151970,89686,25426,4643,848,45,21.23%,22.31%,13.16%,3.73%,0.68%,0.12%,0.01%,60679,8.91%,10
Purba Champaran (02),917790,654575,155300,30366,21973,3759,103643,305797,442383,16.92%,3.31%,2.39%,0.41%,11.29%,33.32%,48.2%,217313,204377,102645,25087,4985,639,16,23.68%,22.27%,11.18%,2.73%,0.54%,0.07%,0%,99513,10.84%,10
Sheohar (03),149211,117020,28165,10752,7381,1459,20437,69278,78616,18.88%,7.21%,4.95%,0.98%,13.7%,46.43%,52.69%,31623,37648,23049,7519,1648,275,8,21.19%,25.23%,15.45%,5.04%,1.1%,0.18%,0.01%,15250,10.22%,10
Sitamarhi (04),725723,569989,175729,39603,34534,3586,81757,328766,370454,24.21%,5.46%,4.76%,0.49%,11.27%,45.3%,51.05%,157920,181157,115979,32047,6570,828,36,21.76%,24.96%,15.98%,4.42%,0.91%,0.11%,0%,75452,10.4%,10
Madhubani (05),886810,672596,181543,36511,24617,2472,109243,289473,383132,20.47%,4.12%,2.78%,0.28%,12.32%,32.64%,43.2%,207824,180587,102858,29243,5461,829,24,23.44%,20.36%,11.6%,3.3%,0.62%,0.09%,0%,145770,16.44%,10
Supaul (06),455280,352756,81138,16987,12565,1824,65040,177219,209006,17.82%,3.73%,2.76%,0.4%,14.29%,38.93%,45.91%,105661,103310,58408,14751,2875,451,27,23.21%,22.69%,12.83%,3.24%,0.63%,0.1%,0.01%,67273,14.78%,10
Araria (07),595834,484794,131874,22530,19840,3568,77520,257182,308636,22.13%,3.78%,3.33%,0.6%,13.01%,43.16%,51.8%,148856,150700,85102,22691,4274,557,16,24.98%,25.29%,14.28%,3.81%,0.72%,0.09%,0%,72598,12.18%,10
Kishanganj (08),308989,247589,33690,11324,16086,1049,30316,145904,180038,10.9%,3.66%,5.21%,0.34%,9.81%,47.22%,58.27%,81171,92048,34992,9051,2074,258,6,26.27%,29.79%,11.32%,2.93%,0.67%,0.08%,0%,27989,9.06%,10
Purnia (09),591936,473812,103976,21063,24308,2657,88115,279969,315583,17.57%,3.56%,4.11%,0.45%,14.89%,47.3%,53.31%,140234,160851,86132,22971,4063,507,14,23.69%,27.17%,14.55%,3.88%,0.69%,0.09%,0%,59040,9.97%,10
Katihar (10),582089,468010,117590,23791,26854,2629,77107,291269,343581,20.2%,4.09%,4.61%,0.45%,13.25%,50.04%,59.03%,123526,178747,91387,23956,5353,808,29,21.22%,30.71%,15.7%,4.12%,0.92%,0.14%,0%,44204,7.59%,10
Madhepura (11),402414,323931,110054,14865,11567,1953,66375,187540,176543,27.35%,3.69%,2.87%,0.49%,16.49%,46.6%,43.87%,89498,93585,64614,20305,2845,460,26,22.24%,23.26%,16.06%,5.05%,0.71%,0.11%,0.01%,52598,13.07%,10
Saharsa (12),351154,283768,113683,11751,10535,2121,60525,152539,188781,32.37%,3.35%,3%,0.6%,17.24%,43.44%,53.76%,73040,82435,64394,22964,2826,447,25,20.8%,23.48%,18.34%,6.54%,0.8%,0.13%,0.01%,37637,10.72%,10
Darbhanga (13),817164,680975,318982,41349,28694,4407,123219,368677,467848,39.04%,5.06%,3.51%,0.54%,15.08%,45.12%,57.25%,160431,204890,168052,57924,7888,1210,59,19.63%,25.07%,20.57%,7.09%,0.97%,0.15%,0.01%,80521,9.85%,10
Muzaffarpur (14),876341,655322,177422,37479,26371,2365,128012,282348,402590,20.25%,4.28%,3.01%,0.27%,14.61%,32.22%,45.94%,203826,190833,107759,29098,5340,762,22,23.26%,21.78%,12.3%,3.32%,0.61%,0.09%,0%,117682,13.43%,10
Gopalganj (15),389899,238113,31413,8836,14465,1006,50924,95294,87184,8.06%,2.27%,3.71%,0.26%,13.06%,24.44%,22.36%,80436,52808,24310,5926,1078,165,8,20.63%,13.54%,6.23%,1.52%,0.28%,0.04%,0%,73382,18.82%,10
Siwan (16),519048,327844,49975,12644,14322,1069,69081,107089,127550,9.63%,2.44%,2.76%,0.21%,13.31%,20.63%,24.57%,106774,69139,31348,8464,1464,229,12,20.57%,13.32%,6.04%,1.63%,0.28%,0.04%,0%,110414,21.27%,10
Saran (17),577746,384258,83827,16843,26497,1526,67355,136743,166955,14.51%,2.92%,4.59%,0.26%,11.66%,23.67%,28.9%,123591,87236,45063,13127,2417,304,11,21.39%,15.1%,7.8%,2.27%,0.42%,0.05%,0%,112509,19.47%,10
Vaishali (18),629950,490578,182186,19894,14175,2043,122872,194414,352003,28.92%,3.16%,2.25%,0.32%,19.51%,30.86%,55.88%,135535,144179,98200,35754,4360,685,24,21.52%,22.89%,15.59%,5.68%,0.69%,0.11%,0%,71841,11.4%,10
Samastipur (19),831029,671710,274703,35141,22968,2905,152397,299987,414913,33.06%,4.23%,2.76%,0.35%,18.34%,36.1%,49.93%,175522,184088,138487,50159,7136,1197,51,21.12%,22.15%,16.66%,6.04%,0.86%,0.14%,0.01%,115070,13.85%,10
Begusarai (20),491437,393460,168068,20543,20555,3207,66203,174488,290849,34.2%,4.18%,4.18%,0.65%,13.47%,35.51%,59.18%,107475,127139,84882,25446,4339,641,27,21.87%,25.87%,17.27%,5.18%,0.88%,0.13%,0.01%,43511,8.85%,10
Khagaria (21),347924,280562,122345,12299,9351,1694,44502,148139,212689,35.16%,3.53%,2.69%,0.49%,12.79%,42.58%,61.13%,72047,93649,67898,18350,2461,364,13,20.71%,26.92%,19.52%,5.27%,0.71%,0.1%,0%,25780,7.41%,10
Bhagalpur (22),468355,330028,102593,11564,8783,2410,47413,138308,238750,21.9%,2.47%,1.88%,0.51%,10.12%,29.53%,50.98%,112394,102120,57273,12511,1971,239,5,24%,21.8%,12.23%,2.67%,0.42%,0.05%,0%,43515,9.29%,10
Banka (23),384455,294715,93794,11319,9355,822,59020,126933,156792,24.4%,2.94%,2.43%,0.21%,15.35%,33.02%,40.78%,89369,79383,48172,13520,1967,239,5,23.25%,20.65%,12.53%,3.52%,0.51%,0.06%,0%,62060,16.14%,10
Munger (24),201233,154630,47160,6824,9544,462,30382,63649,120824,23.44%,3.39%,4.74%,0.23%,15.1%,31.63%,60.04%,49779,46715,29913,9345,1507,159,4,24.74%,23.21%,14.86%,4.64%,0.75%,0.08%,0%,17208,8.55%,10
Lakhisarai (25),141284,92087,23565,3103,3345,213,20306,41907,62814,16.68%,2.2%,2.37%,0.15%,14.37%,29.66%,44.46%,29543,25886,15448,5858,713,96,3,20.91%,18.32%,10.93%,4.15%,0.5%,0.07%,0%,14540,10.29%,10
Sheikhpura (26),91847,59876,11694,2481,1942,440,18236,29458,43620,12.73%,2.7%,2.11%,0.48%,19.85%,32.07%,47.49%,16972,16357,12804,4158,522,85,3,18.48%,17.81%,13.94%,4.53%,0.57%,0.09%,0%,8975,9.77%,10
Nalanda (27),462838,282050,57162,12369,9812,2306,78168,129885,209294,12.35%,2.67%,2.12%,0.5%,16.89%,28.06%,45.22%,80954,81921,56052,17820,2419,404,35,17.49%,17.7%,12.11%,3.85%,0.52%,0.09%,0.01%,42445,9.17%,10
Patna (28),690850,447916,99993,17344,15418,1989,113326,195488,342902,14.47%,2.51%,2.23%,0.29%,16.4%,28.3%,49.63%,144323,137574,80647,25800,3581,621,31,20.89%,19.91%,11.67%,3.73%,0.52%,0.09%,0%,55339,8.01%,10
Bhojpur (29),419641,258370,55763,9375,8787,4031,62165,85801,188432,13.29%,2.23%,2.09%,0.96%,14.81%,20.45%,44.9%,88880,72362,38283,13066,2335,306,18,21.18%,17.24%,9.12%,3.11%,0.56%,0.07%,0%,43120,10.28%,10
Buxar (30),238210,126223,16319,4756,3761,229,34899,36050,91439,6.85%,2%,1.58%,0.1%,14.65%,15.13%,38.39%,46909,35474,16325,4157,660,112,3,19.69%,14.89%,6.85%,1.75%,0.28%,0.05%,0%,22583,9.48%,10
Kaimur Bhabua (31),241516,144074,27677,6241,4776,860,56283,53520,101963,11.46%,2.58%,1.98%,0.36%,23.3%,22.16%,42.22%,43863,44779,25373,8048,1510,328,10,18.16%,18.54%,10.51%,3.33%,0.63%,0.14%,0%,20163,8.35%,10
Rohtas (32),409854,247558,51922,9279,8199,1158,80185,81530,176724,12.67%,2.26%,2%,0.28%,19.56%,19.89%,43.12%,79321,70762,39421,13973,2259,427,20,19.35%,17.27%,9.62%,3.41%,0.55%,0.1%,0%,41375,10.1%,10
Aurangabad (33),366898,240899,34311,8411,6664,4668,82700,77199,167405,9.35%,2.29%,1.82%,1.27%,22.54%,21.04%,45.63%,75572,67487,39090,10597,1761,367,21,20.6%,18.39%,10.65%,2.89%,0.48%,0.1%,0.01%,46004,12.54%,10
Gaya (34),659015,449704,59132,15866,14200,1532,205179,219626,271620,8.97%,2.41%,2.15%,0.23%,31.13%,33.33%,41.22%,120031,118278,102026,25249,3762,741,34,18.21%,17.95%,15.48%,3.83%,0.57%,0.11%,0.01%,79583,12.08%,10
Nawada (35),349738,231420,33051,6755,5745,925,86025,106625,160262,9.45%,1.93%,1.64%,0.26%,24.6%,30.49%,45.82%,67222,57676,50084,14177,1647,257,11,19.22%,16.49%,14.32%,4.05%,0.47%,0.07%,0%,40346,11.54%,10
Jamui (36),292670,208656,47774,7564,5491,9854,55766,88877,103372,16.32%,2.58%,1.88%,3.37%,19.05%,30.37%,35.32%,69652,51607,30842,10760,1758,232,12,23.8%,17.63%,10.54%,3.68%,0.6%,0.08%,0%,43793,14.96%,10
Jehanabad (37),164924,102704,18538,3878,2961,556,28848,44370,74479,11.24%,2.35%,1.8%,0.34%,17.49%,26.9%,45.16%,30028,28692,20118,5328,750,129,4,18.21%,17.4%,12.2%,3.23%,0.45%,0.08%,0%,17655,10.7%,10
Arwal (38),116644,77886,11800,3114,2386,400,21841,27959,54560,10.12%,2.67%,2.05%,0.34%,18.72%,23.97%,46.77%,25324,21153,12375,3319,649,119,10,21.71%,18.13%,10.61%,2.85%,0.56%,0.1%,0.01%,14937,12.81%,10
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,11
North Eastern Zone Total,8061458,5529726,615422,133916,287741,31011,2013707,1842114,2013629,7.63%,1.66%,3.57%,0.38%,24.98%,22.85%,24.98%,2207963,1428593,460544,95446,18854,2326,107,27.39%,17.72%,5.71%,1.18%,0.23%,0.03%,0%,1315893,16.32%,11
State Total,88723,49046,2033,1548,2483,653,23859,11977,7163,2.29%,1.74%,2.8%,0.74%,26.89%,13.5%,8.07%,21186,9115,2540,526,102,11,0,23.88%,10.27%,2.86%,0.59%,0.11%,0.01%,0%,15566,17.54%,11
North  District (01),6550,3787,143,113,188,46,3213,973,776,2.18%,1.73%,2.87%,0.7%,49.05%,14.85%,11.85%,2141,1042,318,53,11,1,0,32.69%,15.91%,4.85%,0.81%,0.17%,0.02%,0%,221,3.37%,11
West District (02),26267,16165,878,475,646,125,8691,4004,1546,3.34%,1.81%,2.46%,0.48%,33.09%,15.24%,5.89%,7424,3025,706,150,31,3,0,28.26%,11.52%,2.69%,0.57%,0.12%,0.01%,0%,4826,18.37%,11
South District (03),24429,14182,541,516,752,114,5679,3353,1247,2.21%,2.11%,3.08%,0.47%,23.25%,13.73%,5.1%,5676,2133,548,126,20,2,0,23.23%,8.73%,2.24%,0.52%,0.08%,0.01%,0%,5677,23.24%,11
East District (04),31477,14912,471,444,897,368,6276,3647,3594,1.5%,1.41%,2.85%,1.17%,19.94%,11.59%,11.42%,5945,2915,968,197,40,5,0,18.89%,9.26%,3.08%,0.63%,0.13%,0.02%,0%,4842,15.38%,11
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,12
North Eastern Zone Total,8061458,5529726,615422,133916,287741,31011,2013707,1842114,2013629,7.63%,1.66%,3.57%,0.38%,24.98%,22.85%,24.98%,2207963,1428593,460544,95446,18854,2326,107,27.39%,17.72%,5.71%,1.18%,0.23%,0.03%,0%,1315893,16.32%,12
State Total,201842,79296,18279,2678,4977,679,60863,39420,7437,9.06%,1.33%,2.47%,0.34%,30.15%,19.53%,3.68%,29444,29213,11385,2255,554,84,2,14.59%,14.47%,5.64%,1.12%,0.27%,0.04%,0%,6359,3.15%,12
Tawang (01),8247,5760,829,531,951,252,5346,4314,1623,10.05%,6.44%,11.53%,3.06%,64.82%,52.31%,19.68%,896,2532,1394,580,213,52,1,10.86%,30.7%,16.9%,7.03%,2.58%,0.63%,0.01%,92,1.12%,12
West Kameng (02),12755,2814,593,111,183,48,2025,1385,478,4.65%,0.87%,1.43%,0.38%,15.88%,10.86%,3.75%,1022,1004,448,75,26,2,1,8.01%,7.87%,3.51%,0.59%,0.2%,0.02%,0.01%,236,1.85%,12
East Kameng (03),12256,7441,3034,137,418,51,7137,4787,173,24.76%,1.12%,3.41%,0.42%,58.23%,39.06%,1.41%,1693,3347,2100,228,24,3,0,13.81%,27.31%,17.13%,1.86%,0.2%,0.02%,0%,46,0.38%,12
Papum Pare (04),13493,1540,278,29,78,6,1269,601,89,2.06%,0.21%,0.58%,0.04%,9.4%,4.45%,0.66%,692,553,152,19,4,0,0,5.13%,4.1%,1.13%,0.14%,0.03%,0%,0%,120,0.89%,12
Upper Subansiri (05),16628,5821,2420,124,397,27,5775,2814,122,14.55%,0.75%,2.39%,0.16%,34.73%,16.92%,0.73%,1756,2492,1340,189,29,3,0,10.56%,14.99%,8.06%,1.14%,0.17%,0.02%,0%,12,0.07%,12
West Siang (06),16355,4648,1754,310,354,17,4430,1823,152,10.72%,1.9%,2.16%,0.1%,27.09%,11.15%,0.93%,1693,1804,805,216,52,0,0,10.35%,11.03%,4.92%,1.32%,0.32%,0%,0%,78,0.48%,12
East Siang (07),12593,4568,1671,168,249,33,3847,1195,357,13.27%,1.33%,1.98%,0.26%,30.55%,9.49%,2.83%,2139,1566,500,136,35,5,0,16.99%,12.44%,3.97%,1.08%,0.28%,0.04%,0%,187,1.48%,12
Upper Siang (08),5487,3335,848,214,156,32,3043,1469,150,15.45%,3.9%,2.84%,0.58%,55.46%,26.77%,2.73%,1405,1230,478,101,37,4,0,25.61%,22.42%,8.71%,1.84%,0.67%,0.07%,0%,80,1.46%,12
Changlang (09),23292,8187,1331,200,316,39,3456,3664,806,5.71%,0.86%,1.36%,0.17%,14.84%,15.73%,3.46%,3952,1820,548,101,32,2,0,16.97%,7.81%,2.35%,0.43%,0.14%,0.01%,0%,1732,7.44%,12
Tirap (10),15931,4037,220,82,210,14,3927,2321,110,1.38%,0.51%,1.32%,0.09%,24.65%,14.57%,0.69%,1579,2110,278,50,9,1,0,9.91%,13.24%,1.75%,0.31%,0.06%,0.01%,0%,10,0.06%,12
Lower Subansiri (11),11726,2903,444,128,277,8,2703,1024,158,3.79%,1.09%,2.36%,0.07%,23.05%,8.73%,1.35%,1487,873,334,104,17,1,0,12.68%,7.44%,2.85%,0.89%,0.14%,0.01%,0%,87,0.74%,12
Kurung Kumey (12),17068,8954,2075,69,393,13,8930,5418,142,12.16%,0.4%,2.3%,0.08%,52.32%,31.74%,0.83%,2700,4545,1569,127,7,0,0,15.82%,26.63%,9.19%,0.74%,0.04%,0%,0%,6,0.04%,12
Dibang Valley (13),1241,522,134,34,65,16,460,320,35,10.8%,2.74%,5.24%,1.29%,37.07%,25.79%,2.82%,153,223,104,22,7,5,0,12.33%,17.97%,8.38%,1.77%,0.56%,0.4%,0%,8,0.64%,12
Lower Dibang Valley (14),7905,2707,680,75,138,42,1265,1096,360,8.6%,0.95%,1.75%,0.53%,16%,13.86%,4.55%,1160,758,219,58,17,1,0,14.67%,9.59%,2.77%,0.73%,0.22%,0.01%,0%,494,6.25%,12
Lohit (15),22686,13139,1726,304,479,50,4550,5291,2511,7.61%,1.34%,2.11%,0.22%,20.06%,23.32%,11.07%,6248,2884,727,143,26,2,0,27.54%,12.71%,3.2%,0.63%,0.11%,0.01%,0%,3109,13.7%,12
Anjaw (16),4179,2920,242,162,313,31,2700,1898,171,5.79%,3.88%,7.49%,0.74%,64.61%,45.42%,4.09%,869,1472,389,106,19,3,0,20.79%,35.22%,9.31%,2.54%,0.45%,0.07%,0%,62,1.48%,12
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,13
North Eastern Zone Total,8061458,5529726,615422,133916,287741,31011,2013707,1842114,2013629,7.63%,1.66%,3.57%,0.38%,24.98%,22.85%,24.98%,2207963,1428593,460544,95446,18854,2326,107,27.39%,17.72%,5.71%,1.18%,0.23%,0.03%,0%,1315893,16.32%,13
State Total,284310,186018,9964,8146,12575,1253,173934,60832,14061,3.5%,2.87%,4.42%,0.44%,61.18%,21.4%,4.95%,107625,56824,13393,3762,760,74,3,37.85%,19.99%,4.71%,1.32%,0.27%,0.03%,0%,3577,1.26%,13
Mon (01),35445,28012,2054,395,601,65,27186,14855,1611,5.79%,1.11%,1.7%,0.18%,76.7%,41.91%,4.55%,11715,13610,2087,324,44,8,1,33.05%,38.4%,5.89%,0.91%,0.12%,0.02%,0%,223,0.63%,13
Mokokchung (02),30620,18173,419,1207,1336,198,17166,1756,2060,1.37%,3.94%,4.36%,0.65%,56.06%,5.73%,6.73%,13381,3210,846,335,83,8,0,43.7%,10.48%,2.76%,1.09%,0.27%,0.03%,0%,310,1.01%,13
Zunheboto (03),23617,14480,128,874,1329,154,14423,3201,978,0.54%,3.7%,5.63%,0.65%,61.07%,13.55%,4.14%,9808,3298,838,409,92,11,1,41.53%,13.96%,3.55%,1.73%,0.39%,0.05%,0%,23,0.1%,13
Wokha (04),24530,17071,321,713,1102,69,16535,3253,1245,1.31%,2.91%,4.49%,0.28%,67.41%,13.26%,5.08%,12515,3124,973,303,64,4,0,51.02%,12.74%,3.97%,1.24%,0.26%,0.02%,0%,88,0.36%,13
