District Name,Total Households,Total land,Number of Households with Land,% of Households with Land,Number of Households with No Land,% of Households with No Land,Total Un-irrigated land in acres,% Total Un-irrigated land in acres,With assured irrigation for two crops (in acres),% With assured irrigation for two crops (in acres),Other irrigated land (in acres),% Other irrigated land (in acres),Number of Households owning Mechanized Three/Four Wheeler Agricultural equipment,% of Households owning Mechanized Three/Four Wheeler Agricultural equipment,"Number of Households owning Irrigation equipment (including diesel/kerosene/electric pumpset, sprinkler/drip irrigation system, etc.)","% of Households owning Irrigation equipment (including diesel/kerosene/electric pumpset, sprinkler/drip irrigation system, etc.)","Number of Households having Kisan Credit Card with credit limit of Rs 50,000 or above","% of Households having Kisan Credit Card with credit limit of Rs 50,000 or above",State_Code
Kohima (10),29305,2277461.09,15731,53.68%,13574,46.32%,714765.83,31.38%,702428.73,30.84%,860266.54,37.77%,192,0.66%,139,0.47%,78,0.27%,13
Peren (11),15178,27402.8,4466,29.42%,10712,70.58%,18100.9,66.05%,3535.3,12.9%,5766.6,21.04%,46,0.3%,64,0.42%,316,2.08%,13
All India Total,179787454,1058786043.81,78355329,43.58%,101422599,56.41%,428413840.52,40.46%,389500635.79,36.79%,240904708.68,22.75%,7369947,4.1%,17669303,9.83%,6484625,3.61%,14
North Eastern Zone Total,8061458,116958378.27,3312635,41.09%,4748710,58.91%,70295845.73,60.1%,26824664.81,22.94%,19837883.57,16.96%,111149,1.38%,249098,3.09%,73684,0.91%,14
State Total,448163,664548.93,134352,29.98%,313811,70.02%,460817.27,69.34%,71026.14,10.69%,132705.53,19.97%,4213,0.94%,5555,1.24%,3945,0.88%,14
Senapati (01),93129,120090.5,42857,46.02%,50272,53.98%,79581.76,66.27%,17924.11,14.93%,22584.63,18.81%,332,0.36%,342,0.37%,176,0.19%,14
Tamenglong (02),25878,115898.58,3999,15.45%,21879,84.55%,100002.57,86.28%,13302.69,11.48%,2593.32,2.24%,135,0.52%,160,0.62%,60,0.23%,14
Churachandpur (03),53252,176775.67,3634,6.82%,49618,93.18%,170311.71,96.34%,2736.05,1.55%,3727.91,2.11%,190,0.36%,454,0.85%,131,0.25%,14
Bishnupur (04),29107,49694.77,9946,34.17%,19161,65.83%,14109.82,28.39%,5872.35,11.82%,29712.6,59.79%,585,2.01%,289,0.99%,418,1.44%,14
Thoubal (05),56089,54985.48,22469,40.06%,33620,59.94%,22661.9,41.21%,11698.95,21.28%,20624.64,37.51%,801,1.43%,1619,2.89%,740,1.32%,14
ImphalWest (06),52166,24744.32,13035,24.99%,39131,75.01%,11558.05,46.71%,3440.95,13.91%,9745.32,39.38%,996,1.91%,913,1.75%,792,1.52%,14
ImphalEast (07),71558,62249,17783,24.85%,53775,75.15%,21426.29,34.42%,11400.68,18.31%,29422.03,47.27%,952,1.33%,1329,1.86%,1172,1.64%,14
Ukhrul (08),39237,48907.39,16128,41.1%,23109,58.9%,34460.21,70.46%,3686.85,7.54%,10760.33,22%,163,0.42%,87,0.22%,88,0.22%,14
